iCE40HX4K-TQ144
pin,bank,type,name
1,3,IO,IOL_2A
2,3,IO,IOL_2B
3,3,IO,IOL_3A
4,3,IO,IOL_3B
5,,POWER,GND
6,3,POWER,VCCIO_3
7,3,IO,IOL_4A
8,3,IO,IOL_4B
9,3,IO,IOL_5A
10,3,IO,IOL_5B
11,3,IO,IOL_8A
12,3,IO,IOL_8B
13,,POWER,GND
14,,POWER,GND
15,3,IO,IOL_10A
16,3,IO,IOL_10B
17,3,IO,IOL_12A
18,3,IO,IOL_12B
19,3,IO,IOL_13A
20,3,IO,IOL_13B_GBIN7
21,3,IO,IOL_14A_GBIN6
22,3,IO,IOL_14B
23,3,IO,IOL_17A
24,3,IO,IOL_17B
25,3,IO,IOL_18A
26,3,IO,IOL_18B
27,,POWER,VCC
28,3,IO,IOL_23A
29,3,IO,IOL_23B
30,3,POWER,VCCIO_3
31,3,IO,IOL_24A
32,3,IO,IOL_24B
33,3,IO,IOL_25A
34,3,IO,IOL_25B
37,2,IO,IOB_56
38,2,IO,IOB_57
39,2,IO,IOB_61
40,,POWER,VCC
41,2,IO,IOB_63
42,2,IO,IOB_64
43,2,IO,IOB_71
44,2,IO,IOB_72
45,2,IO,IOB_73
46,2,POWER,VCCIO_2
47,2,IO,IOB_79
48,2,IO,IOB_80
49,2,IO,IOB_81_GBIN5
52,2,IO,IOB_82_GBIN4
53,,POWER,GNDPLL0
54,,POWER,VCCPLL0
55,2,IO,IOB_91
56,2,IO,IOB_94
57,2,POWER,VCCIO_2
59,,POWER,GND
60,2,IO,IOB_95
61,2,IO,IOB_96
62,2,IO,IOB_102
63,2,IO,IOB_103_CBSEL0
64,2,IO,IOB_104_CBSEL1
65,2,OUTPUT,CDONE
66,2,INPUT,CRESET_B
67,SPI,IO,IOB_105_SDO
68,SPI,IO,IOB_106_SDI
69,,POWER,GND
70,SPI,IO,IOB_107_SCK
71,SPI,IO,IOB_108_SS
72,SPI,POWER,VCC_SPI
73,1,IO,IOR_109
74,1,IO,IOR_110
75,1,IO,IOR_111
76,1,IO,IOR_112
77,,NC,NC
78,1,IO,IOR_114
79,1,IO,IOR_115
80,1,IO,IOR_116
81,1,IO,IOR_117
82,1,IO,IOR_118
83,1,IO,IOR_119
84,1,IO,IOR_120
85,1,IO,IOR_128
86,,POWER,GND
87,1,IO,IOR_136
88,1,IO,IOR_137
89,1,POWER,VCCIO_1
90,1,IO,IOR_138
91,1,IO,IOR_139
92,,POWER,VCC
93,1,IO,IOR_140_GBIN3
94,1,IO,IOR_141_GBIN2
95,1,IO,IOR_144
96,1,IO,IOR_146
97,1,IO,IOR_147
98,1,IO,IOR_148
99,1,IO,IOR_152
100,1,POWER,VCCIO_1
101,1,IO,IOR_160
102,1,IO,IOR_161
103,,POWER,GND
104,1,IO,IOR_164
105,1,IO,IOR_165
106,1,IO,IOR_166
107,1,IO,IOR_167
108,,POWER,VPP_2V5
109,,POWER,VPP_FAST
110,0,IO,IOT_168
111,,POWER,VCC
112,0,IO,IOT_169
113,0,IO,IOT_170
114,0,IO,IOT_171
115,0,IO,IOT_172
116,0,IO,IOT_173
117,0,IO,IOT_174
118,0,IO,IOT_177
119,0,IO,IOT_178
120,0,IO,IOT_179
121,0,IO,IOT_181
122,0,IO,IOT_190
123,0,POWER,VCCIO_0
124,0,IO,IOT_191
125,0,IO,IOT_192
126,,POWER,VCCPLL1
127,,POWER,GNDPLL1
128,0,IO,IOT_197_GBIN1
129,0,IO,IOT_198_GBIN0
130,0,IO,IOT_206
131,0,POWER,VCCIO_0
132,,POWER,GND
134,0,IO,IOT_212
135,0,IO,IOT_213
136,0,IO,IOT_214
137,0,IO,IOT_215
138,0,IO,IOT_216
139,0,IO,IOT_217
140,,POWER,GND
141,0,IO,IOT_219
142,0,IO,IOT_220
143,0,IO,IOT_221
144,0,IO,IOT_222
35,,NC,NC
36,,NC,NC
50,,NC,NC
51,,NC,NC
58,,NC,NC
133,,NC,NC
,,,
